evidence_id,phase,analysis_nature,dataset_code,dataset_display_name,dataset_role,modality,endpoint,horizon_days,model_or_comparison,metric,point_estimate,ci_lower_95,ci_upper_95,parent_n,evaluated_n,events,coverage,source_file,source_row,ci_source_file,ci_source_row,claim_status,allowed_claim_zh,allowed_claim_en,limitation_zh,limitation_en,planned_location,planned_figure_or_table
P2-FLOW-R012,Phase 2,COHORT_DEFINITION,HANCOCK,HANCOCK,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,source_records:all,cohort_flow_n,763,,,763,763,,,results/metrics/phase2/cohort_flow.csv,12,,,ALLOWED_WITH_ROLE_QUALIFIER,HANCOCK队列流程步骤“source_records / all”人数为763。,The HANCOCK cohort-flow step 'source_records / all' contained 763 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R013,Phase 2,COHORT_DEFINITION,HANCOCK,HANCOCK,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,eligibility:eligible,cohort_flow_n,763,,,763,763,,,results/metrics/phase2/cohort_flow.csv,13,,,ALLOWED_WITH_ROLE_QUALIFIER,HANCOCK队列流程步骤“eligibility / eligible”人数为763。,The HANCOCK cohort-flow step 'eligibility / eligible' contained 763 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R014,Phase 2,COHORT_DEFINITION,HANCOCK,HANCOCK,development calibration split,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,analysis_split:calibration,cohort_flow_n,122,,,122,122,,,results/metrics/phase2/cohort_flow.csv,14,,,ALLOWED_WITH_ROLE_QUALIFIER,HANCOCK队列流程步骤“analysis_split / calibration”人数为122。,The HANCOCK cohort-flow step 'analysis_split / calibration' contained 122 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R015,Phase 2,COHORT_DEFINITION,HANCOCK,HANCOCK,prespecified retrospective OOD sealed test,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,analysis_split:sealed_test,cohort_flow_n,152,,,152,152,,,results/metrics/phase2/cohort_flow.csv,15,,,ALLOWED_WITH_ROLE_QUALIFIER,HANCOCK队列流程步骤“analysis_split / sealed_test”人数为152。,The HANCOCK cohort-flow step 'analysis_split / sealed_test' contained 152 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R016,Phase 2,COHORT_DEFINITION,HANCOCK,HANCOCK,development training split,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,analysis_split:train,cohort_flow_n,489,,,489,489,,,results/metrics/phase2/cohort_flow.csv,16,,,ALLOWED_WITH_ROLE_QUALIFIER,HANCOCK队列流程步骤“analysis_split / train”人数为489。,The HANCOCK cohort-flow step 'analysis_split / train' contained 489 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R017,Phase 2,COHORT_DEFINITION,RADCURE,RADCURE,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; GTV; pretreatment CT radiomics,24-month overall survival,730.5,source_records:all,cohort_flow_n,3346,,,3346,3346,,,results/metrics/phase2/cohort_flow.csv,17,,,ALLOWED_WITH_ROLE_QUALIFIER,RADCURE队列流程步骤“source_records / all”人数为3346。,The RADCURE cohort-flow step 'source_records / all' contained 3346 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R018,Phase 2,COHORT_DEFINITION,RADCURE,RADCURE,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; GTV; pretreatment CT radiomics,24-month overall survival,730.5,eligibility:eligible,cohort_flow_n,2144,,,2144,2144,,,results/metrics/phase2/cohort_flow.csv,18,,,ALLOWED_WITH_ROLE_QUALIFIER,RADCURE队列流程步骤“eligibility / eligible”人数为2144。,The RADCURE cohort-flow step 'eligibility / eligible' contained 2144 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R019,Phase 2,COHORT_DEFINITION,RADCURE,RADCURE,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; GTV; pretreatment CT radiomics,24-month overall survival,730.5,exclusion:histology_not_normalized_exact_invasive_scc,cohort_flow_n,498,,,498,498,,,results/metrics/phase2/cohort_flow.csv,19,,,ALLOWED_WITH_ROLE_QUALIFIER,RADCURE队列流程步骤“exclusion / histology_not_normalized_exact_invasive_scc”人数为498。,The RADCURE cohort-flow step 'exclusion / histology_not_normalized_exact_invasive_scc' contained 498 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R020,Phase 2,COHORT_DEFINITION,RADCURE,RADCURE,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; GTV; pretreatment CT radiomics,24-month overall survival,730.5,exclusion:outside_primary_challenge_split,cohort_flow_n,704,,,704,704,,,results/metrics/phase2/cohort_flow.csv,20,,,ALLOWED_WITH_ROLE_QUALIFIER,RADCURE队列流程步骤“exclusion / outside_primary_challenge_split”人数为704。,The RADCURE cohort-flow step 'exclusion / outside_primary_challenge_split' contained 704 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R021,Phase 2,COHORT_DEFINITION,RADCURE,RADCURE,development calibration split,clinical; GTV; pretreatment CT radiomics,24-month overall survival,730.5,analysis_split:calibration,cohort_flow_n,303,,,303,303,,,results/metrics/phase2/cohort_flow.csv,21,,,ALLOWED_WITH_ROLE_QUALIFIER,RADCURE队列流程步骤“analysis_split / calibration”人数为303。,The RADCURE cohort-flow step 'analysis_split / calibration' contained 303 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R022,Phase 2,COHORT_DEFINITION,RADCURE,RADCURE,prespecified locked retrospective test,clinical; GTV; pretreatment CT radiomics,24-month overall survival,730.5,analysis_split:sealed_test,cohort_flow_n,626,,,626,626,,,results/metrics/phase2/cohort_flow.csv,22,,,ALLOWED_WITH_ROLE_QUALIFIER,RADCURE队列流程步骤“analysis_split / sealed_test”人数为626。,The RADCURE cohort-flow step 'analysis_split / sealed_test' contained 626 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R023,Phase 2,COHORT_DEFINITION,RADCURE,RADCURE,development training split,clinical; GTV; pretreatment CT radiomics,24-month overall survival,730.5,analysis_split:train,cohort_flow_n,1215,,,1215,1215,,,results/metrics/phase2/cohort_flow.csv,23,,,ALLOWED_WITH_ROLE_QUALIFIER,RADCURE队列流程步骤“analysis_split / train”人数为1215。,The RADCURE cohort-flow step 'analysis_split / train' contained 1215 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R024,Phase 2,COHORT_DEFINITION,TCGA-HNSC,TCGA-HNSC,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,source_records:all,cohort_flow_n,520,,,520,520,,,results/metrics/phase2/cohort_flow.csv,24,,,ALLOWED_WITH_ROLE_QUALIFIER,TCGA-HNSC队列流程步骤“source_records / all”人数为520。,The TCGA-HNSC cohort-flow step 'source_records / all' contained 520 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R025,Phase 2,COHORT_DEFINITION,TCGA-HNSC,TCGA-HNSC,cohort source/eligibility/exclusion accounting before analysis-role assignment,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,eligibility:eligible,cohort_flow_n,520,,,520,520,,,results/metrics/phase2/cohort_flow.csv,25,,,ALLOWED_WITH_ROLE_QUALIFIER,TCGA-HNSC队列流程步骤“eligibility / eligible”人数为520。,The TCGA-HNSC cohort-flow step 'eligibility / eligible' contained 520 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R026,Phase 2,COHORT_DEFINITION,TCGA-HNSC,TCGA-HNSC,development calibration split,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,analysis_split:calibration,cohort_flow_n,104,,,104,104,,,results/metrics/phase2/cohort_flow.csv,26,,,ALLOWED_WITH_ROLE_QUALIFIER,TCGA-HNSC队列流程步骤“analysis_split / calibration”人数为104。,The TCGA-HNSC cohort-flow step 'analysis_split / calibration' contained 104 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P2-FLOW-R027,Phase 2,COHORT_DEFINITION,TCGA-HNSC,TCGA-HNSC,development training split,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,analysis_split:train,cohort_flow_n,416,,,416,416,,,results/metrics/phase2/cohort_flow.csv,27,,,ALLOWED_WITH_ROLE_QUALIFIER,TCGA-HNSC队列流程步骤“analysis_split / train”人数为416。,The TCGA-HNSC cohort-flow step 'analysis_split / train' contained 416 records.,,,Methods/Results cohort flow,WP4 candidate Figure 2 or Table 1
P4-MODEL-R002-IPCW-BRIER,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B2; seed=17; partition=oof,ipcw_brier,0.11080140934597,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,2,,,DEVELOPMENT_ONLY,HANCOCK中B2的IPCW Brier评分为0.11080140934597。,B2 had IPCW Brier score 0.11080140934597 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R002-HARRELL-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B2; seed=17; partition=oof,harrell_c,0.6591061654445937,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,2,,,DEVELOPMENT_ONLY,HANCOCK中B2的Harrell C指数为0.6591061654445937。,B2 had Harrell C index 0.6591061654445937 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R002-UNO-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B2; seed=17; partition=oof,uno_c,0.7079161081481299,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,2,,,DEVELOPMENT_ONLY,HANCOCK中B2的Uno C指数为0.7079161081481299。,B2 had Uno C index 0.7079161081481299 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R002-AUC-HORIZON,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B2; seed=17; partition=oof,auc_horizon,0.7262695984120152,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,2,,,DEVELOPMENT_ONLY,HANCOCK中B2的24个月AUC为0.7262695984120152。,B2 had 24-month AUC 0.7262695984120152 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R002-CALIBRATION-IN-THE-LARGE,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B2; seed=17; partition=oof,calibration_in_the_large,-0.0066938374187132405,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,2,,,DEVELOPMENT_ONLY,HANCOCK中B2的整体校准偏差为-0.0066938374187132405。,B2 had calibration-in-the-large -0.0066938374187132405 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R002-CALIBRATION-SLOPE,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B2; seed=17; partition=oof,calibration_slope,1.4084005125393595,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,2,,,DEVELOPMENT_ONLY,HANCOCK中B2的校准斜率为1.4084005125393595。,B2 had calibration slope 1.4084005125393595 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R003-IPCW-BRIER,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B5; seed=17; partition=oof,ipcw_brier,0.10602172136906839,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,3,,,DEVELOPMENT_ONLY,HANCOCK中B5的IPCW Brier评分为0.10602172136906839。,B5 had IPCW Brier score 0.10602172136906839 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R003-HARRELL-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B5; seed=17; partition=oof,harrell_c,0.6759268821646184,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,3,,,DEVELOPMENT_ONLY,HANCOCK中B5的Harrell C指数为0.6759268821646184。,B5 had Harrell C index 0.6759268821646184 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R003-UNO-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B5; seed=17; partition=oof,uno_c,0.7193705349827106,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,3,,,DEVELOPMENT_ONLY,HANCOCK中B5的Uno C指数为0.7193705349827106。,B5 had Uno C index 0.7193705349827106 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R003-AUC-HORIZON,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B5; seed=17; partition=oof,auc_horizon,0.7405752337886146,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,3,,,DEVELOPMENT_ONLY,HANCOCK中B5的24个月AUC为0.7405752337886146。,B5 had 24-month AUC 0.7405752337886146 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R003-CALIBRATION-IN-THE-LARGE,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B5; seed=17; partition=oof,calibration_in_the_large,-0.004378335977921811,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,3,,,DEVELOPMENT_ONLY,HANCOCK中B5的整体校准偏差为-0.004378335977921811。,B5 had calibration-in-the-large -0.004378335977921811 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R003-CALIBRATION-SLOPE,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B5; seed=17; partition=oof,calibration_slope,1.2753123045565296,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,3,,,DEVELOPMENT_ONLY,HANCOCK中B5的校准斜率为1.2753123045565296。,B5 had calibration slope 1.2753123045565296 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R004-IPCW-BRIER,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B6; seed=17; partition=oof,ipcw_brier,0.10644082900328428,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,4,,,DEVELOPMENT_ONLY,HANCOCK中B6的IPCW Brier评分为0.10644082900328428。,B6 had IPCW Brier score 0.10644082900328428 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R004-HARRELL-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B6; seed=17; partition=oof,harrell_c,0.6791800061964267,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,4,,,DEVELOPMENT_ONLY,HANCOCK中B6的Harrell C指数为0.6791800061964267。,B6 had Harrell C index 0.6791800061964267 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R004-UNO-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B6; seed=17; partition=oof,uno_c,0.7177401902414805,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,4,,,DEVELOPMENT_ONLY,HANCOCK中B6的Uno C指数为0.7177401902414805。,B6 had Uno C index 0.7177401902414805 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R004-AUC-HORIZON,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B6; seed=17; partition=oof,auc_horizon,0.7395279600846717,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,4,,,DEVELOPMENT_ONLY,HANCOCK中B6的24个月AUC为0.7395279600846717。,B6 had 24-month AUC 0.7395279600846717 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-MODEL-R004-CALIBRATION-IN-THE-LARGE,Phase 4,DEVELOPMENT_OR_CALIBRATION,HANCOCK,HANCOCK,development/calibration ecosystem,clinical/pathological; blood; TMA cell density,24-month overall survival,730.5,B6; seed=17; partition=oof,calibration_in_the_large,0.007779883094106143,,,,489.0,135.0,,results/metrics/phase4/model_metrics.csv,4,,,DEVELOPMENT_ONLY,HANCOCK中B6的整体校准偏差为0.007779883094106143。,B6 had calibration-in-the-large 0.007779883094106143 in HANCOCK.,仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
